release_id,constituency_name,financial_year,installment_number,amount_released,release_date,cumulative_release
REL001031,Mumbai South,2023-24,1,72131689.73,2023-05-31,72131689.73
REL001032,Mumbai South,2023-24,2,72131689.73,2023-10-28,144263379.46
REL001033,Mumbai South,2024-25,1,63747283.98,2024-05-31,63747283.98
REL001034,Mumbai South,2024-25,2,63747283.98,2024-10-28,127494567.96
REL001035,Mumbai South,2025-26,1,55762614.59,2025-05-31,55762614.59
REL001036,Mumbai South,2025-26,2,55762614.59,2025-10-28,111525229.18
REL001037,Jaipur,2023-24,1,65725111.55,2023-05-31,65725111.55
REL001038,Jaipur,2023-24,2,65725111.54,2023-10-28,131450223.09
REL001039,Jaipur,2024-25,1,54089421.13,2024-05-31,54089421.13
REL001040,Jaipur,2024-25,2,54089421.14,2024-10-28,108178842.27
REL001041,Jaipur,2025-26,1,58853668.77,2025-05-31,58853668.77
REL001042,Jaipur,2025-26,2,58853668.78,2025-10-28,117707337.55
REL001043,Bhopal,2023-24,1,58371976.29,2023-05-31,58371976.29
REL001044,Bhopal,2023-24,2,58371976.29,2023-10-28,116743952.58
REL001045,Bhopal,2024-25,1,59755580.84,2024-05-31,59755580.84
REL001046,Bhopal,2024-25,2,59755580.84,2024-10-28,119511161.68
REL001047,Bhopal,2025-26,1,59814595.62,2025-05-31,59814595.62
REL001048,Bhopal,2025-26,2,59814595.62,2025-10-28,119629191.24
REL001049,Gurugram,2023-24,1,58942265.56,2023-05-31,58942265.56
REL001050,Gurugram,2023-24,2,58942265.57,2023-10-28,117884531.13
REL001051,Gurugram,2024-25,1,49888481.34,2024-05-31,49888481.34
REL001052,Gurugram,2024-25,2,49888481.33,2024-10-28,99776962.67
REL001053,Gurugram,2025-26,1,62571561.84,2025-05-31,62571561.84
REL001054,Gurugram,2025-26,2,62571561.83,2025-10-28,125143123.67
REL001055,Raipur,2023-24,1,62537273.59,2023-05-31,62537273.59
REL001056,Raipur,2023-24,2,62537273.59,2023-10-28,125074547.18
REL001057,Raipur,2024-25,1,64894144.78,2024-05-31,64894144.78
REL001058,Raipur,2024-25,2,64894144.78,2024-10-28,129788289.56
REL001059,Raipur,2025-26,1,87723775.27,2025-05-31,87723775.27
REL001060,Raipur,2025-26,2,87723775.26,2025-10-28,175447550.53
REL001061,Guwahati,2023-24,1,70673003.89,2023-05-31,70673003.89
REL001062,Guwahati,2023-24,2,70673003.9,2023-10-28,141346007.79
REL001063,Guwahati,2024-25,1,69280839.8,2024-05-31,69280839.8
REL001064,Guwahati,2024-25,2,69280839.8,2024-10-28,138561679.6
REL001065,Guwahati,2025-26,1,57965547.38,2025-05-31,57965547.38
REL001066,Guwahati,2025-26,2,57965547.39,2025-10-28,115931094.77
REL001067,Bengaluru South,2023-24,1,59835680.38,2023-05-31,59835680.38
REL001068,Bengaluru South,2023-24,2,59835680.39,2023-10-28,119671360.77
REL001069,Bengaluru South,2024-25,1,67590748.92,2024-05-31,67590748.92
REL001070,Bengaluru South,2024-25,2,67590748.93,2024-10-28,135181497.85
REL001071,Bengaluru South,2025-26,1,57856420.37,2025-05-31,57856420.37
REL001072,Bengaluru South,2025-26,2,57856420.37,2025-10-28,115712840.74
REL001073,Visakhapatnam,2023-24,1,69497674.23,2023-05-31,69497674.23
REL001074,Visakhapatnam,2023-24,2,69497674.23,2023-10-28,138995348.46
REL001075,Visakhapatnam,2024-25,1,56434005.23,2024-05-31,56434005.23
REL001076,Visakhapatnam,2024-25,2,56434005.22,2024-10-28,112868010.45
REL001077,Visakhapatnam,2025-26,1,50997030.41,2025-05-31,50997030.41
REL001078,Visakhapatnam,2025-26,2,50997030.4,2025-10-28,101994060.81
REL001079,Hyderabad,2023-24,1,64913035.1,2023-05-31,64913035.1
REL001080,Hyderabad,2023-24,2,64913035.11,2023-10-28,129826070.21
REL001081,Hyderabad,2024-25,1,47721107.98,2024-05-31,47721107.98
REL001082,Hyderabad,2024-25,2,47721107.99,2024-10-28,95442215.97
REL001083,Hyderabad,2025-26,1,62884431.73,2025-05-31,62884431.73
REL001084,Hyderabad,2025-26,2,62884431.73,2025-10-28,125768863.46
REL001085,Bhubaneswar,2023-24,1,59924999.95,2023-05-31,59924999.95
REL001086,Bhubaneswar,2023-24,2,59924999.96,2023-10-28,119849999.91
REL001087,Bhubaneswar,2024-25,1,62419517.21,2024-05-31,62419517.21
REL001088,Bhubaneswar,2024-25,2,62419517.21,2024-10-28,124839034.42
REL001089,Bhubaneswar,2025-26,1,62760786.77,2025-05-31,62760786.77
REL001090,Bhubaneswar,2025-26,2,62760786.76,2025-10-28,125521573.53
REL001091,Gandhinagar,2023-24,1,63066812.52,2023-05-31,63066812.52
REL001092,Gandhinagar,2023-24,2,63066812.53,2023-10-28,126133625.05
REL001093,Gandhinagar,2024-25,1,59190913.73,2024-05-31,59190913.73
REL001094,Gandhinagar,2024-25,2,59190913.74,2024-10-28,118381827.47
REL001095,Gandhinagar,2025-26,1,51338881.92,2025-05-31,51338881.92
REL001096,Gandhinagar,2025-26,2,51338881.93,2025-10-28,102677763.85
REL001097,Dehradun,2023-24,1,67087228.88,2023-05-31,67087228.88
REL001098,Dehradun,2023-24,2,67087228.89,2023-10-28,134174457.77
REL001099,Dehradun,2024-25,1,54703074.13,2024-05-31,54703074.13
REL001100,Dehradun,2024-25,2,54703074.14,2024-10-28,109406148.27
REL001101,Dehradun,2025-26,1,53570435.82,2025-05-31,53570435.82
REL001102,Dehradun,2025-26,2,53570435.82,2025-10-28,107140871.64
REL001103,Shimla,2023-24,1,56151465.46,2023-05-31,56151465.46
REL001104,Shimla,2023-24,2,56151465.46,2023-10-28,112302930.92
REL001105,Shimla,2024-25,1,50360021.22,2024-05-31,50360021.22
REL001106,Shimla,2024-25,2,50360021.22,2024-10-28,100720042.44
REL001107,Shimla,2025-26,1,61353633.38,2025-05-31,61353633.38
REL001108,Shimla,2025-26,2,61353633.38,2025-10-28,122707266.76
REL001109,Srinagar,2023-24,1,51516192.09,2023-05-31,51516192.09
REL001110,Srinagar,2023-24,2,51516192.1,2023-10-28,103032384.19
REL001111,Srinagar,2024-25,1,56165982.06,2024-05-31,56165982.06
REL001112,Srinagar,2024-25,2,56165982.06,2024-10-28,112331964.12
REL001113,Srinagar,2025-26,1,53622738.52,2025-05-31,53622738.52
REL001114,Srinagar,2025-26,2,53622738.52,2025-10-28,107245477.04
REL001115,Thiruvananthapuram,2023-24,1,58574304.56,2023-05-31,58574304.56
REL001116,Thiruvananthapuram,2023-24,2,58574304.56,2023-10-28,117148609.12
REL001117,Thiruvananthapuram,2024-25,1,47876755.47,2024-05-31,47876755.47
REL001118,Thiruvananthapuram,2024-25,2,47876755.47,2024-10-28,95753510.94
REL001119,Thiruvananthapuram,2025-26,1,59448405.66,2025-05-31,59448405.66
REL001120,Thiruvananthapuram,2025-26,2,59448405.65,2025-10-28,118896811.31
REL001121,Chennai Central,2023-24,1,56577861.66,2023-05-31,56577861.66
REL001122,Chennai Central,2023-24,2,56577861.66,2023-10-28,113155723.32
REL001123,Chennai Central,2024-25,1,55110290.94,2024-05-31,55110290.94
REL001124,Chennai Central,2024-25,2,55110290.94,2024-10-28,110220581.88
REL001125,Chennai Central,2025-26,1,47001384.59,2025-05-31,47001384.59
REL001126,Chennai Central,2025-26,2,47001384.59,2025-10-28,94002769.18
REL001127,New Delhi,2023-24,1,55449259.69,2023-05-31,55449259.69
REL001128,New Delhi,2023-24,2,55449259.68,2023-10-28,110898519.37
REL001129,New Delhi,2024-25,1,55480636.16,2024-05-31,55480636.16
REL001130,New Delhi,2024-25,2,55480636.15,2024-10-28,110961272.31
REL001131,New Delhi,2025-26,1,69009481.44,2025-05-31,69009481.44
REL001132,New Delhi,2025-26,2,69009481.44,2025-10-28,138018962.88
REL001133,North Goa,2023-24,1,57900172.83,2023-05-31,57900172.83
REL001134,North Goa,2023-24,2,57900172.82,2023-10-28,115800345.65
REL001135,North Goa,2024-25,1,56581367.41,2024-05-31,56581367.41
REL001136,North Goa,2024-25,2,56581367.42,2024-10-28,113162734.83
REL001137,North Goa,2025-26,1,52996098.66,2025-05-31,52996098.66
REL001138,North Goa,2025-26,2,52996098.65,2025-10-28,105992197.31
REL001139,Sikkim,2023-24,1,61086399.23,2023-05-31,61086399.23
REL001140,Sikkim,2023-24,2,61086399.23,2023-10-28,122172798.46
REL001141,Sikkim,2024-25,1,56305205.29,2024-05-31,56305205.29
REL001142,Sikkim,2024-25,2,56305205.29,2024-10-28,112610410.58
REL001143,Sikkim,2025-26,1,53159564.66,2025-05-31,53159564.66
REL001144,Sikkim,2025-26,2,53159564.66,2025-10-28,106319129.32
REL001145,Shillong,2023-24,1,57497441.16,2023-05-31,57497441.16
REL001146,Shillong,2023-24,2,57497441.16,2023-10-28,114994882.32
REL001147,Shillong,2024-25,1,67249806.75,2024-05-31,67249806.75
REL001148,Shillong,2024-25,2,67249806.74,2024-10-28,134499613.49
REL001149,Shillong,2025-26,1,59308628.45,2025-05-31,59308628.45
REL001150,Shillong,2025-26,2,59308628.45,2025-10-28,118617256.9
REL001151,Inner Manipur,2023-24,1,60418579.45,2023-05-31,60418579.45
REL001152,Inner Manipur,2023-24,2,60418579.46,2023-10-28,120837158.91
REL001153,Inner Manipur,2024-25,1,60987983.98,2024-05-31,60987983.98
REL001154,Inner Manipur,2024-25,2,60987983.99,2024-10-28,121975967.97
REL001155,Inner Manipur,2025-26,1,57681271.55,2025-05-31,57681271.55
REL001156,Inner Manipur,2025-26,2,57681271.55,2025-10-28,115362543.1
REL001157,Mizoram,2023-24,1,56696217.2,2023-05-31,56696217.2
REL001158,Mizoram,2023-24,2,56696217.21,2023-10-28,113392434.41
REL001159,Mizoram,2024-25,1,49989053.96,2024-05-31,49989053.96
REL001160,Mizoram,2024-25,2,49989053.96,2024-10-28,99978107.92
REL001161,Mizoram,2025-26,1,67823933.19,2025-05-31,67823933.19
REL001162,Mizoram,2025-26,2,67823933.18,2025-10-28,135647866.37
REL001163,Nagaland,2023-24,1,61717938.57,2023-05-31,61717938.57
REL001164,Nagaland,2023-24,2,61717938.57,2023-10-28,123435877.14
REL001165,Nagaland,2024-25,1,55223271.02,2024-05-31,55223271.02
REL001166,Nagaland,2024-25,2,55223271.01,2024-10-28,110446542.03
REL001167,Nagaland,2025-26,1,56066456.91,2025-05-31,56066456.91
REL001168,Nagaland,2025-26,2,56066456.91,2025-10-28,112132913.82
REL001169,Tripura West,2023-24,1,56773962.85,2023-05-31,56773962.85
REL001170,Tripura West,2023-24,2,56773962.86,2023-10-28,113547925.71
REL001171,Tripura West,2024-25,1,61073336.8,2024-05-31,61073336.8
REL001172,Tripura West,2024-25,2,61073336.79,2024-10-28,122146673.59
REL001173,Tripura West,2025-26,1,65793016.35,2025-05-31,65793016.35
REL001174,Tripura West,2025-26,2,65793016.36,2025-10-28,131586032.71
REL001175,Arunachal West,2023-24,1,56745572.52,2023-05-31,56745572.52
REL001176,Arunachal West,2023-24,2,56745572.52,2023-10-28,113491145.04
REL001177,Arunachal West,2024-25,1,64323222.09,2024-05-31,64323222.09
REL001178,Arunachal West,2024-25,2,64323222.09,2024-10-28,128646444.18
REL001179,Arunachal West,2025-26,1,63330966.14,2025-05-31,63330966.14
REL001180,Arunachal West,2025-26,2,63330966.14,2025-10-28,126661932.28
REL001181,Chandigarh,2023-24,1,50045100.37,2023-05-31,50045100.37
REL001182,Chandigarh,2023-24,2,50045100.36,2023-10-28,100090200.73
REL001183,Chandigarh,2024-25,1,57094450.46,2024-05-31,57094450.46
REL001184,Chandigarh,2024-25,2,57094450.46,2024-10-28,114188900.92
REL001185,Chandigarh,2025-26,1,56562019.49,2025-05-31,56562019.49
REL001186,Chandigarh,2025-26,2,56562019.5,2025-10-28,113124038.99
REL001187,Puducherry,2023-24,1,54370177.48,2023-05-31,54370177.48
REL001188,Puducherry,2023-24,2,54370177.48,2023-10-28,108740354.96
REL001189,Puducherry,2024-25,1,54118818.55,2024-05-31,54118818.55
REL001190,Puducherry,2024-25,2,54118818.55,2024-10-28,108237637.1
REL001191,Puducherry,2025-26,1,68442535.34,2025-05-31,68442535.34
REL001192,Puducherry,2025-26,2,68442535.35,2025-10-28,136885070.69
REL001193,Dadra and Nagar Haveli,2023-24,1,53905216.52,2023-05-31,53905216.52
REL001194,Dadra and Nagar Haveli,2023-24,2,53905216.51,2023-10-28,107810433.03
REL001195,Dadra and Nagar Haveli,2024-25,1,61931729.91,2024-05-31,61931729.91
REL001196,Dadra and Nagar Haveli,2024-25,2,61931729.92,2024-10-28,123863459.83
REL001197,Dadra and Nagar Haveli,2025-26,1,56755995.99,2025-05-31,56755995.99
REL001198,Dadra and Nagar Haveli,2025-26,2,56755996.0,2025-10-28,113511991.99
REL001199,Daman and Diu,2023-24,1,57757209.55,2023-05-31,57757209.55
REL001200,Daman and Diu,2023-24,2,57757209.54,2023-10-28,115514419.09
REL001201,Daman and Diu,2024-25,1,67745199.36,2024-05-31,67745199.36
REL001202,Daman and Diu,2024-25,2,67745199.35,2024-10-28,135490398.71
REL001203,Daman and Diu,2025-26,1,53118237.06,2025-05-31,53118237.06
REL001204,Daman and Diu,2025-26,2,53118237.06,2025-10-28,106236474.12
REL001205,Lakshadweep,2023-24,1,57112863.74,2023-05-31,57112863.74
REL001206,Lakshadweep,2023-24,2,57112863.75,2023-10-28,114225727.49
REL001207,Lakshadweep,2024-25,1,54228327.22,2024-05-31,54228327.22
REL001208,Lakshadweep,2024-25,2,54228327.22,2024-10-28,108456654.44
REL001209,Lakshadweep,2025-26,1,56401229.34,2025-05-31,56401229.34
REL001210,Lakshadweep,2025-26,2,56401229.34,2025-10-28,112802458.68
REL001211,Haridwar,2023-24,1,64511583.14,2023-05-31,64511583.14
REL001212,Haridwar,2023-24,2,64511583.14,2023-10-28,129023166.28
REL001213,Haridwar,2024-25,1,59412661.87,2024-05-31,59412661.87
REL001214,Haridwar,2024-25,2,59412661.86,2024-10-28,118825323.73
REL001215,Haridwar,2025-26,1,55879854.81,2025-05-31,55879854.81
REL001216,Haridwar,2025-26,2,55879854.81,2025-10-28,111759709.62
REL001217,Vijayawada,2023-24,1,73519384.75,2023-05-31,73519384.75
REL001218,Vijayawada,2023-24,2,73519384.74,2023-10-28,147038769.49
REL001219,Vijayawada,2024-25,1,54127713.94,2024-05-31,54127713.94
REL001220,Vijayawada,2024-25,2,54127713.93,2024-10-28,108255427.87
REL001221,Vijayawada,2025-26,1,56579757.1,2025-05-31,56579757.1
REL001222,Vijayawada,2025-26,2,56579757.11,2025-10-28,113159514.21
REL001223,Bilaspur,2023-24,1,61247847.88,2023-05-31,61247847.88
REL001224,Bilaspur,2023-24,2,61247847.88,2023-10-28,122495695.76
REL001225,Bilaspur,2024-25,1,51573541.08,2024-05-31,51573541.08
REL001226,Bilaspur,2024-25,2,51573541.07,2024-10-28,103147082.15
REL001227,Bilaspur,2025-26,1,60323878.1,2025-05-31,60323878.1
REL001228,Bilaspur,2025-26,2,60323878.11,2025-10-28,120647756.21
REL001229,Arunachal East,2023-24,1,54813851.44,2023-05-31,54813851.44
REL001230,Arunachal East,2023-24,2,54813851.43,2023-10-28,109627702.87
REL001231,Arunachal East,2024-25,1,56667958.95,2024-05-31,56667958.95
REL001232,Arunachal East,2024-25,2,56667958.96,2024-10-28,113335917.91
REL001233,Arunachal East,2025-26,1,58387179.38,2025-05-31,58387179.38
REL001234,Arunachal East,2025-26,2,58387179.39,2025-10-28,116774358.77
REL001235,Wayanad,2023-24,1,52026846.87,2023-05-31,52026846.87
REL001236,Wayanad,2023-24,2,52026846.87,2023-10-28,104053693.74
REL001237,Wayanad,2024-25,1,63092379.41,2024-05-31,63092379.41
REL001238,Wayanad,2024-25,2,63092379.42,2024-10-28,126184758.83
REL001239,Wayanad,2025-26,1,58368815.79,2025-05-31,58368815.79
REL001240,Wayanad,2025-26,2,58368815.79,2025-10-28,116737631.58
REL001241,Jodhpur,2023-24,1,66212440.89,2023-05-31,66212440.89
REL001242,Jodhpur,2023-24,2,66212440.89,2023-10-28,132424881.78
REL001243,Jodhpur,2024-25,1,74367039.5,2024-05-31,74367039.5
REL001244,Jodhpur,2024-25,2,74367039.51,2024-10-28,148734079.01
REL001245,Jodhpur,2025-26,1,66332785.46,2025-05-31,66332785.46
REL001246,Jodhpur,2025-26,2,66332785.46,2025-10-28,132665570.92
REL001247,Pune,2023-24,1,71843572.5,2023-05-31,71843572.5
REL001248,Pune,2023-24,2,71843572.5,2023-10-28,143687145.0
REL001249,Pune,2024-25,1,63307304.2,2024-05-31,63307304.2
REL001250,Pune,2024-25,2,63307304.21,2024-10-28,126614608.41
REL001251,Pune,2025-26,1,62282593.8,2025-05-31,62282593.8
REL001252,Pune,2025-26,2,62282593.79,2025-10-28,124565187.59
REL001253,Dibrugarh,2023-24,1,61148683.8,2023-05-31,61148683.8
REL001254,Dibrugarh,2023-24,2,61148683.8,2023-10-28,122297367.6
REL001255,Dibrugarh,2024-25,1,68337463.31,2024-05-31,68337463.31
REL001256,Dibrugarh,2024-25,2,68337463.32,2024-10-28,136674926.63
REL001257,Dibrugarh,2025-26,1,57667455.98,2025-05-31,57667455.98
REL001258,Dibrugarh,2025-26,2,57667455.98,2025-10-28,115334911.96
REL001259,Ahmedabad East,2023-24,1,59406025.79,2023-05-31,59406025.79
REL001260,Ahmedabad East,2023-24,2,59406025.79,2023-10-28,118812051.58
REL001261,Ahmedabad East,2024-25,1,70193791.23,2024-05-31,70193791.23
REL001262,Ahmedabad East,2024-25,2,70193791.24,2024-10-28,140387582.47
REL001263,Ahmedabad East,2025-26,1,56749201.9,2025-05-31,56749201.9
REL001264,Ahmedabad East,2025-26,2,56749201.89,2025-10-28,113498403.79
REL001265,South Goa,2023-24,1,45463104.49,2023-05-31,45463104.49
REL001266,South Goa,2023-24,2,45463104.5,2023-10-28,90926208.99
REL001267,South Goa,2024-25,1,60233788.2,2024-05-31,60233788.2
REL001268,South Goa,2024-25,2,60233788.21,2024-10-28,120467576.41
REL001269,South Goa,2025-26,1,46782721.45,2025-05-31,46782721.45
REL001270,South Goa,2025-26,2,46782721.46,2025-10-28,93565442.91
REL001271,Bengaluru Central,2023-24,1,71547763.41,2023-05-31,71547763.41
REL001272,Bengaluru Central,2023-24,2,71547763.4,2023-10-28,143095526.81
REL001273,Bengaluru Central,2024-25,1,70830879.0,2024-05-31,70830879.0
REL001274,Bengaluru Central,2024-25,2,70830879.01,2024-10-28,141661758.01
REL001275,Bengaluru Central,2025-26,1,63656350.06,2025-05-31,63656350.06
REL001276,Bengaluru Central,2025-26,2,63656350.07,2025-10-28,127312700.13
REL001277,Jammu,2023-24,1,43363964.79,2023-05-31,43363964.79
REL001278,Jammu,2023-24,2,43363964.79,2023-10-28,86727929.58
REL001279,Jammu,2024-25,1,60860222.59,2024-05-31,60860222.59
REL001280,Jammu,2024-25,2,60860222.58,2024-10-28,121720445.17
REL001281,Jammu,2025-26,1,54822399.1,2025-05-31,54822399.1
REL001282,Jammu,2025-26,2,54822399.11,2025-10-28,109644798.21
REL001283,Lucknow,2023-24,1,36444000.0,2023-05-31,36444000.0
REL001284,Lucknow,2023-24,2,36444000.0,2023-10-28,72888000.0
REL001285,Lucknow,2024-25,1,36356000.0,2024-05-31,36356000.0
REL001286,Lucknow,2024-25,2,36356000.0,2024-10-28,72712000.0
REL001287,Lucknow,2025-26,1,42508000.0,2025-05-31,42508000.0
REL001288,Lucknow,2025-26,2,42508000.0,2025-10-28,85016000.0
REL001289,Cuttack,2023-24,1,60092404.91,2023-05-31,60092404.91
REL001290,Cuttack,2023-24,2,60092404.92,2023-10-28,120184809.83
REL001291,Cuttack,2024-25,1,66886119.53,2024-05-31,66886119.53
REL001292,Cuttack,2024-25,2,66886119.53,2024-10-28,133772239.06
REL001293,Cuttack,2025-26,1,70674489.67,2025-05-31,70674489.67
REL001294,Cuttack,2025-26,2,70674489.68,2025-10-28,141348979.35
REL001295,Outer Manipur,2023-24,1,63580551.65,2023-05-31,63580551.65
REL001296,Outer Manipur,2023-24,2,63580551.64,2023-10-28,127161103.29
REL001297,Outer Manipur,2024-25,1,62702355.55,2024-05-31,62702355.55
REL001298,Outer Manipur,2024-25,2,62702355.54,2024-10-28,125404711.09
REL001299,Outer Manipur,2025-26,1,47834209.38,2025-05-31,47834209.38
REL001300,Outer Manipur,2025-26,2,47834209.39,2025-10-28,95668418.77
