work_id,constituency_name,state_name,district_name,mp_name,work_description,work_category,sanctioned_amount,sanction_date,actual_expenditure,work_status,implementing_agency,financial_year,expected_completion_date,completion_date,latitude,longitude,anomaly_injected
WRK001012,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of decentralized solid waste segregation and processing unit at Vikas Puri,SANITATION,3200000.0,2023-04-16,3156906.38,COMPLETED,Rural Development Agency (DRDA),2023-24,2023-11-17,2023-11-11,25.4078,85.2716,
WRK001013,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of multipurpose community welfare hall and auditorium at Sector 4,COMMUNITY_ASSETS,4450000.0,2023-08-17,4364774.37,COMPLETED,Municipal Corporation Engineering Cell,2023-24,2023-12-05,2023-11-24,25.4343,85.0944,
WRK001014,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of integrated solar LED street lighting units across Kisan Basti,POWER,1240000.0,2024-01-22,1194298.17,COMPLETED,Zilla Parishad Engineering Division,2023-24,2024-09-03,2024-08-25,25.749,85.0693,
WRK001015,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of drinking water facility and sanitation block in school at Ram Nagar,EDUCATION,4980000.0,2023-11-06,4671119.42,COMPLETED,Irrigation & Public Health Division,2023-24,2024-05-09,2024-05-04,25.5752,85.107,
WRK001016,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Upgradation of Primary Health Centre with maternal care equipment at Model Town,HEALTH,1540000.0,2024-01-24,1425103.72,COMPLETED,Public Works Department (PWD),2023-24,2024-06-18,2024-06-04,25.4029,85.1831,
WRK001017,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Bituminous surface road connectivity linking village to Gandhi Chowk,ROADS,1570000.0,2024-01-04,1516123.01,COMPLETED,Rural Development Agency (DRDA),2023-24,2024-08-05,2024-08-05,25.4857,84.9529,
WRK001018,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of piped drinking water supply scheme with solar pump at Kisan Basti,DRINKING_WATER,1360000.0,2023-11-10,1345185.44,COMPLETED,Municipal Corporation Engineering Cell,2023-24,2024-03-03,2024-02-18,25.6636,85.0417,
WRK001019,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of decentralized solid waste segregation and processing unit at Gandhi Chowk,SANITATION,2310000.0,2023-05-17,2224305.61,COMPLETED,Zilla Parishad Engineering Division,2023-24,2023-11-09,2023-10-29,25.7202,84.9437,
WRK001020,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Gram Panchayat Bhavan cum civic service centre at Station Road,COMMUNITY_ASSETS,2580000.0,2023-09-05,2384041.43,COMPLETED,Irrigation & Public Health Division,2023-24,2023-12-23,2023-12-08,25.5773,85.2445,
WRK001021,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of integrated solar LED street lighting units across Shivaji Nagar,POWER,2330000.0,2023-07-10,2214240.59,COMPLETED,Public Works Department (PWD),2023-24,2024-02-08,2024-02-05,25.4855,85.0604,
WRK001022,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Setting up of computer lab and digital library in Higher Secondary School at Kisan Basti,EDUCATION,2400000.0,2023-09-09,2249798.57,COMPLETED,Rural Development Agency (DRDA),2023-24,2024-04-28,2024-04-14,25.6647,85.0947,
WRK001023,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Supply of mobile health dispensary unit and diagnostic lab at Vikas Puri,HEALTH,3870000.0000000005,2023-05-17,3724836.65,COMPLETED,Municipal Corporation Engineering Cell,2023-24,2023-08-29,2023-08-15,25.4201,85.0907,
WRK001024,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of reinforced cement concrete culvert and approach road at Gandhi Chowk,ROADS,810000.0,2023-07-20,802890.62,COMPLETED,Zilla Parishad Engineering Division,2023-24,2023-11-04,2023-10-27,25.6701,84.9941,
WRK001025,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of community reverse osmosis water purification plant at Model Town,DRINKING_WATER,3290000.0,2023-05-06,3095433.53,COMPLETED,Irrigation & Public Health Division,2023-24,2023-11-19,2023-11-14,25.6629,85.1261,
WRK001026,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of modern community sanitary complex with bio-toilets at Ram Nagar,SANITATION,1090000.0,2023-11-04,1003612.31,COMPLETED,Public Works Department (PWD),2023-24,2024-04-18,2024-04-06,25.5829,85.2716,
WRK001027,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of multipurpose community welfare hall and auditorium at Vikas Puri,COMMUNITY_ASSETS,2780000.0,2023-08-03,2639782.82,COMPLETED,Rural Development Agency (DRDA),2023-24,2023-12-04,2023-11-24,25.7733,85.2523,
WRK001028,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Supply and erection of 100 kVA distribution transformer for power stabilization at Vikas Puri,POWER,3250000.0,2023-09-17,3162481.07,COMPLETED,Municipal Corporation Engineering Cell,2023-24,2024-04-29,2024-04-18,25.4031,85.2268,
WRK001029,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Setting up of computer lab and digital library in Higher Secondary School at Gandhi Chowk,EDUCATION,3840000.0,2023-06-09,3595345.09,COMPLETED,Zilla Parishad Engineering Division,2023-24,2023-10-16,2023-10-09,25.5089,85.1419,
WRK001030,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Supply of mobile health dispensary unit and diagnostic lab at Kisan Basti,HEALTH,4570000.0,2023-08-22,4205696.3,COMPLETED,Irrigation & Public Health Division,2023-24,2023-12-03,2023-11-22,25.4369,85.0694,
WRK001031,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of reinforced cement concrete culvert and approach road at Ram Nagar,ROADS,3840000.0,2023-07-07,3823119.65,COMPLETED,Public Works Department (PWD),2023-24,2024-02-23,2024-02-12,25.6823,85.1244,
WRK001032,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of community reverse osmosis water purification plant at Sector 4,DRINKING_WATER,3120000.0,2023-10-22,3103298.77,COMPLETED,Rural Development Agency (DRDA),2023-24,2024-02-26,2024-02-12,25.5719,84.9167,
WRK001033,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Underground storm water drainage and sewage disposal network at Shivaji Nagar,SANITATION,3500000.0,2023-08-21,3393785.22,COMPLETED,Municipal Corporation Engineering Cell,2023-24,2024-02-17,2024-02-06,25.712,85.2537,
WRK001034,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of additional classrooms in Government High School at Station Road,EDUCATION,4470000.0,2024-07-15,4259628.63,COMPLETED,Public Works Department (PWD),2024-25,2024-10-19,2024-10-11,25.4717,85.2698,
WRK001035,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Community Health Sub-Centre building at Station Road,HEALTH,2220000.0,2024-06-10,2124149.85,COMPLETED,Rural Development Agency (DRDA),2024-25,2024-09-17,2024-09-11,25.7434,84.989,
WRK001036,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of CC road and drainage channel from Main Market to Shivaji Nagar,ROADS,3470000.0000000005,2024-04-28,3269885.1,COMPLETED,Municipal Corporation Engineering Cell,2024-25,2024-11-06,2024-11-03,25.5313,85.2457,
WRK001037,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of community reverse osmosis water purification plant at Vikas Puri,DRINKING_WATER,4730000.0,2024-10-02,4723775.54,COMPLETED,Zilla Parishad Engineering Division,2024-25,2025-01-29,2025-01-15,25.7508,85.0045,
WRK001038,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of modern community sanitary complex with bio-toilets at Model Town,SANITATION,2060000.0000000002,2024-11-24,2043438.38,COMPLETED,Irrigation & Public Health Division,2024-25,2025-05-13,2025-05-04,25.5746,85.2937,
WRK001039,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Gram Panchayat Bhavan cum civic service centre at Sector 4,COMMUNITY_ASSETS,509999.99999999994,2024-11-25,477239.03,COMPLETED,Public Works Department (PWD),2024-25,2025-07-10,2025-07-08,25.6747,85.2761,
WRK001040,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of integrated solar LED street lighting units across Adarsh Nagar,POWER,3490000.0,2024-09-23,3324823.3,COMPLETED,Rural Development Agency (DRDA),2024-25,2025-01-22,2025-01-19,25.6879,85.0201,
WRK001041,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of drinking water facility and sanitation block in school at Ram Nagar,EDUCATION,1070000.0,2025-01-24,999296.74,COMPLETED,Municipal Corporation Engineering Cell,2024-25,2025-08-09,2025-08-03,25.666,85.0517,
WRK001042,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Community Health Sub-Centre building at Vikas Puri,HEALTH,1870000.0,2024-04-16,1789962.23,COMPLETED,Zilla Parishad Engineering Division,2024-25,2024-09-06,2024-09-05,25.572,85.132,
WRK001043,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of reinforced cement concrete culvert and approach road at Shivaji Nagar,ROADS,2630000.0,2025-01-02,2549892.47,COMPLETED,Irrigation & Public Health Division,2024-25,2025-05-15,2025-05-02,25.6635,85.0135,
WRK001044,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of piped drinking water supply scheme with solar pump at Ram Nagar,DRINKING_WATER,4129999.9999999995,2024-08-09,4080353.33,COMPLETED,Public Works Department (PWD),2024-25,2024-12-14,2024-12-01,25.4098,84.9979,
WRK001045,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Underground storm water drainage and sewage disposal network at Subhash Ward,SANITATION,3729999.9999999995,2024-07-24,3433254.57,COMPLETED,Rural Development Agency (DRDA),2024-25,2025-01-28,2025-01-16,25.5978,84.9976,
WRK001046,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Gram Panchayat Bhavan cum civic service centre at Shivaji Nagar,COMMUNITY_ASSETS,4120000.0000000005,2024-07-15,3830399.79,COMPLETED,Municipal Corporation Engineering Cell,2024-25,2025-02-22,2025-02-11,25.5858,85.123,
WRK001047,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Supply and erection of 100 kVA distribution transformer for power stabilization at Vikas Puri,POWER,4780000.0,2024-09-25,4715209.65,COMPLETED,Zilla Parishad Engineering Division,2024-25,2025-04-16,2025-04-15,25.6451,85.1877,
WRK001048,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of additional classrooms in Government High School at Kisan Basti,EDUCATION,1670000.0,2024-12-02,1601142.16,COMPLETED,Irrigation & Public Health Division,2024-25,2025-05-04,2025-04-26,25.7359,85.0109,
WRK001049,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Community Health Sub-Centre building at Kisan Basti,HEALTH,3710000.0,2024-05-25,3454269.42,COMPLETED,Public Works Department (PWD),2024-25,2024-10-22,2024-10-14,25.5087,85.0279,
WRK001050,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Bituminous surface road connectivity linking village to Station Road,ROADS,790000.0,2024-08-03,779438.72,COMPLETED,Rural Development Agency (DRDA),2024-25,2025-02-13,2025-02-10,25.5324,85.0864,
WRK001051,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of community reverse osmosis water purification plant at Sector 4,DRINKING_WATER,2650000.0,2024-10-27,2615174.48,COMPLETED,Municipal Corporation Engineering Cell,2024-25,2025-04-25,2025-04-17,25.5194,85.056,
WRK001052,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Underground storm water drainage and sewage disposal network at Shivaji Nagar,SANITATION,2460000.0,2024-09-02,2405718.9,COMPLETED,Zilla Parishad Engineering Division,2024-25,2024-12-08,2024-12-07,25.5555,85.1675,
WRK001053,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of multipurpose community welfare hall and auditorium at Model Town,COMMUNITY_ASSETS,620000.0,2025-01-14,591659.19,COMPLETED,Irrigation & Public Health Division,2024-25,2025-07-23,2025-07-22,25.6368,85.1652,
WRK001054,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of integrated solar LED street lighting units across Sector 4,POWER,2210000.0,2024-08-27,2082395.77,COMPLETED,Public Works Department (PWD),2024-25,2025-01-18,2025-01-16,25.5819,85.035,
WRK001055,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Setting up of computer lab and digital library in Higher Secondary School at Gandhi Chowk,EDUCATION,590000.0,2024-12-12,546038.79,COMPLETED,Rural Development Agency (DRDA),2024-25,2025-07-28,2025-07-14,25.4208,85.2808,
WRK001056,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Upgradation of Primary Health Centre with maternal care equipment at Shivaji Nagar,HEALTH,4280000.0,2024-07-27,4262112.0,COMPLETED,Municipal Corporation Engineering Cell,2024-25,2024-12-03,2024-12-02,25.4954,85.0894,
WRK001057,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of reinforced cement concrete culvert and approach road at Ram Nagar,ROADS,1260000.0,2024-10-21,1217531.42,COMPLETED,Zilla Parishad Engineering Division,2024-25,2025-02-17,2025-02-11,25.7111,84.9655,
WRK001058,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of community reverse osmosis water purification plant at Subhash Ward,DRINKING_WATER,4740000.0,2024-11-05,4399440.98,COMPLETED,Irrigation & Public Health Division,2024-25,2025-03-25,2025-03-19,25.4304,85.1762,
WRK001059,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of decentralized solid waste segregation and processing unit at Model Town,SANITATION,4079999.9999999995,2024-06-16,3874554.33,COMPLETED,Public Works Department (PWD),2024-25,2025-02-05,2025-01-31,25.7131,85.0389,
WRK001060,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of multipurpose community welfare hall and auditorium at Subhash Ward,COMMUNITY_ASSETS,969999.9999999999,2024-12-22,926193.8,COMPLETED,Rural Development Agency (DRDA),2024-25,2025-06-22,2025-06-15,25.6542,85.2315,
WRK001061,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Rooftop solar photovoltaic power system for primary healthcare facility at Vikas Puri,POWER,2590000.0,2024-12-19,2440593.93,COMPLETED,Municipal Corporation Engineering Cell,2024-25,2025-05-26,2025-05-25,25.5289,84.9982,
WRK001062,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of additional classrooms in Government High School at Kisan Basti,EDUCATION,2010000.0000000002,2024-10-27,1977491.44,COMPLETED,Zilla Parishad Engineering Division,2024-25,2025-05-31,2025-05-26,25.7404,84.9727,
WRK001063,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Community Health Sub-Centre building at Model Town,HEALTH,3000000.0,2024-09-04,2877258.68,COMPLETED,Irrigation & Public Health Division,2024-25,2025-04-14,2025-04-06,25.7792,84.9342,
WRK001064,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of reinforced cement concrete culvert and approach road at Kisan Basti,ROADS,2520000.0,2024-12-23,2380131.14,COMPLETED,Public Works Department (PWD),2024-25,2025-03-27,2025-03-23,25.4372,84.9886,
WRK001065,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,"Construction of 50,000 litre overhead water storage tank at Vikas Puri",DRINKING_WATER,2050000.0,2025-01-12,1927230.2,COMPLETED,Rural Development Agency (DRDA),2024-25,2025-08-30,2025-08-18,25.5323,85.1811,
WRK001066,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of decentralized solid waste segregation and processing unit at Shivaji Nagar,SANITATION,1040000.0,2024-09-24,1018251.91,COMPLETED,Municipal Corporation Engineering Cell,2024-25,2025-05-09,2025-05-02,25.7804,85.1761,
WRK001067,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of drinking water facility and sanitation block in school at Model Town,EDUCATION,4910000.0,2025-09-07,4795309.66,COMPLETED,Public Works Department (PWD),2025-26,2026-01-24,2026-01-13,25.5185,85.0444,
WRK001068,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Community Health Sub-Centre building at Sector 4,HEALTH,2990000.0,2025-05-13,2753733.88,COMPLETED,Rural Development Agency (DRDA),2025-26,2025-09-12,2025-09-06,25.6551,85.2011,
WRK001069,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Bituminous surface road connectivity linking village to Kisan Basti,ROADS,2030000.0,2025-11-27,1878211.77,COMPLETED,Municipal Corporation Engineering Cell,2025-26,2026-03-10,2026-03-10,25.501,85.2447,
WRK001070,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of piped drinking water supply scheme with solar pump at Model Town,DRINKING_WATER,1180000.0,2025-05-13,1138282.09,COMPLETED,Zilla Parishad Engineering Division,2025-26,2026-01-02,2025-12-31,25.7797,84.9341,
WRK001071,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of decentralized solid waste segregation and processing unit at Model Town,SANITATION,3990000.0,2025-08-09,3986817.98,COMPLETED,Irrigation & Public Health Division,2025-26,2026-02-12,2026-02-06,25.5802,85.0771,
WRK001072,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of covered shed and crematorium facility with lighting at Model Town,COMMUNITY_ASSETS,3240000.0,2025-05-16,3151982.97,COMPLETED,Public Works Department (PWD),2025-26,2025-09-08,2025-08-29,25.779,84.9831,
WRK001073,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of integrated solar LED street lighting units across Station Road,POWER,840000.0,2026-01-23,774993.4,COMPLETED,Rural Development Agency (DRDA),2025-26,2026-04-23,2026-04-17,25.5634,85.1757,
WRK001074,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of drinking water facility and sanitation block in school at Ram Nagar,EDUCATION,819999.9999999999,2025-12-04,797773.61,COMPLETED,Municipal Corporation Engineering Cell,2025-26,2026-05-02,2026-04-23,25.7696,85.2151,
WRK001075,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Community Health Sub-Centre building at Gandhi Chowk,HEALTH,1510000.0,2026-01-19,1409243.47,COMPLETED,Zilla Parishad Engineering Division,2025-26,2026-05-27,2026-05-21,25.7634,85.2307,
WRK001076,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of reinforced cement concrete culvert and approach road at Model Town,ROADS,2480000.0,2025-09-10,2380893.68,COMPLETED,Irrigation & Public Health Division,2025-26,2026-04-07,2026-04-07,25.6755,85.1799,
WRK001077,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,"Construction of 50,000 litre overhead water storage tank at Gandhi Chowk",DRINKING_WATER,4500000.0,2025-05-06,4382747.41,COMPLETED,Public Works Department (PWD),2025-26,2025-10-25,2025-10-10,25.6415,84.9103,
WRK001078,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of decentralized solid waste segregation and processing unit at Ram Nagar,SANITATION,3929999.9999999995,2025-05-06,3672660.19,COMPLETED,Rural Development Agency (DRDA),2025-26,2025-09-17,2025-09-15,25.5882,85.1606,
WRK001079,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of covered shed and crematorium facility with lighting at Kisan Basti,COMMUNITY_ASSETS,2620000.0,2025-06-01,2479526.85,COMPLETED,Municipal Corporation Engineering Cell,2025-26,2025-12-12,2025-12-12,25.5333,85.1681,
WRK001080,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Supply and erection of 100 kVA distribution transformer for power stabilization at Subhash Ward,POWER,670000.0,2026-01-22,638063.78,COMPLETED,Zilla Parishad Engineering Division,2025-26,2026-05-14,2026-04-29,25.5258,85.0293,
WRK001081,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of drinking water facility and sanitation block in school at Vikas Puri,EDUCATION,2360000.0,2025-12-08,2254657.33,COMPLETED,Irrigation & Public Health Division,2025-26,2026-04-25,2026-04-11,25.6074,85.1491,
WRK001082,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Upgradation of Primary Health Centre with maternal care equipment at Ram Nagar,HEALTH,1090000.0,2026-01-22,1087658.4,COMPLETED,Public Works Department (PWD),2025-26,2026-07-04,2026-06-26,25.5752,85.1793,
WRK001083,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of reinforced cement concrete culvert and approach road at Station Road,ROADS,2980000.0,2025-09-22,2768649.13,COMPLETED,Rural Development Agency (DRDA),2025-26,2026-05-11,2026-04-29,25.5632,84.9899,
WRK001084,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of community reverse osmosis water purification plant at Station Road,DRINKING_WATER,4700000.0,2025-12-27,4692571.98,COMPLETED,Municipal Corporation Engineering Cell,2025-26,2026-06-09,2026-06-01,25.6035,85.0094,
WRK001085,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Underground storm water drainage and sewage disposal network at Vikas Puri,SANITATION,2230000.0,2025-06-29,2189445.24,COMPLETED,Zilla Parishad Engineering Division,2025-26,2026-02-04,2026-02-02,25.6985,84.9546,
WRK001086,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Gram Panchayat Bhavan cum civic service centre at Vikas Puri,COMMUNITY_ASSETS,4190000.0,2025-08-30,4076012.14,COMPLETED,Irrigation & Public Health Division,2025-26,2026-02-08,2026-01-28,25.6904,85.235,
WRK001087,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Supply and erection of 100 kVA distribution transformer for power stabilization at Vikas Puri,POWER,2050000.0,2025-12-19,2028614.68,COMPLETED,Public Works Department (PWD),2025-26,2026-08-07,2026-07-30,25.7051,85.0509,
WRK001088,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of drinking water facility and sanitation block in school at Subhash Ward,EDUCATION,4350000.0,2025-08-13,4284370.3,COMPLETED,Rural Development Agency (DRDA),2025-26,2026-02-24,2026-02-21,25.4175,85.1979,
WRK001089,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Supply of mobile health dispensary unit and diagnostic lab at Station Road,HEALTH,4840000.0,2025-12-25,4791286.51,COMPLETED,Municipal Corporation Engineering Cell,2025-26,2026-04-26,2026-04-25,25.6009,85.1361,
WRK001090,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of CC road and drainage channel from Main Market to Vikas Puri,ROADS,570000.0,2025-12-05,545808.77,COMPLETED,Zilla Parishad Engineering Division,2025-26,2026-04-10,2026-04-03,25.564,85.1619,
WRK001091,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,"Construction of 50,000 litre overhead water storage tank at Model Town",DRINKING_WATER,3420000.0000000005,2025-11-05,3233038.49,COMPLETED,Irrigation & Public Health Division,2025-26,2026-04-28,2026-04-28,25.7409,85.2437,
WRK001092,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of decentralized solid waste segregation and processing unit at Sector 4,SANITATION,1560000.0,2025-05-21,1447485.7,COMPLETED,Public Works Department (PWD),2025-26,2025-10-31,2025-10-19,25.799,85.1987,
WRK001093,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Gram Panchayat Bhavan cum civic service centre at Station Road,COMMUNITY_ASSETS,4570000.0,2025-09-16,4361859.09,COMPLETED,Rural Development Agency (DRDA),2025-26,2025-12-26,2025-12-18,25.5297,84.9224,
WRK001094,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Rooftop solar photovoltaic power system for primary healthcare facility at Subhash Ward,POWER,1260000.0,2025-07-17,1209364.86,COMPLETED,Municipal Corporation Engineering Cell,2025-26,2025-11-04,2025-10-24,25.6438,85.053,
WRK001095,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of additional classrooms in Government High School at Kisan Basti,EDUCATION,2570000.0,2025-08-24,2476780.58,COMPLETED,Zilla Parishad Engineering Division,2025-26,2025-11-24,2025-11-11,25.7596,85.0861,
WRK001096,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of Community Health Sub-Centre building at Adarsh Nagar,HEALTH,3379999.9999999995,2025-09-16,3379830.61,COMPLETED,Irrigation & Public Health Division,2025-26,2026-04-02,2026-04-02,25.6761,85.0827,
WRK001097,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of CC road and drainage channel from Main Market to Shivaji Nagar,ROADS,3070000.0,2025-10-28,3043910.77,COMPLETED,Public Works Department (PWD),2025-26,2026-06-22,2026-08-23,25.5183,85.1797,DELAYED_PROJECT
