work_id,constituency_name,financial_year,anomaly_type,anomaly_injected,anomaly_description
WRK003324,Sikkim,2024-25,DUPLICATE_WORK,True,Duplicate of WRK003323
WRK003453,Shillong,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK003490,Inner Manipur,2023-24,AMOUNT_CLUSTERING,True,Injected synthetic AMOUNT_CLUSTERING
WRK003586,Mizoram,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK003683,Nagaland,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK003761,Nagaland,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK003865,Tripura West,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK003982,Chandigarh,2023-24,COMPLIANCE_RISK,True,Injected synthetic COMPLIANCE_RISK
WRK003998,Chandigarh,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK004141,Puducherry,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK004271,Daman and Diu,2023-24,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK004290,Daman and Diu,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK004298,Daman and Diu,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK004371,Lakshadweep,2023-24,AMOUNT_CLUSTERING,True,Injected synthetic AMOUNT_CLUSTERING
WRK004424,Lakshadweep,2024-25,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK004457,Lakshadweep,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK004472,Haridwar,2023-24,AMOUNT_CLUSTERING,True,Injected synthetic AMOUNT_CLUSTERING
WRK004491,Haridwar,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK004682,Bilaspur,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK004692,Bilaspur,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK004723,Bilaspur,2024-25,DURABILITY_RISK,True,Injected synthetic DURABILITY_RISK
WRK004724,Bilaspur,2024-25,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK004749,Bilaspur,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK004750,Bilaspur,2025-26,DUPLICATE_WORK,True,Duplicate of WRK004749
WRK004818,Arunachal East,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK004868,Wayanad,2023-24,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK004934,Wayanad,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK004939,Wayanad,2025-26,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK004959,Wayanad,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK004972,Jodhpur,2023-24,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK004989,Jodhpur,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK004990,Jodhpur,2023-24,DUPLICATE_WORK,True,Duplicate of WRK004989
WRK005082,Pune,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK005117,Pune,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK005129,Pune,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK005196,Dibrugarh,2023-24,COMPLIANCE_RISK,True,Injected synthetic COMPLIANCE_RISK
WRK005212,Dibrugarh,2024-25,COMPLIANCE_RISK,True,Injected synthetic COMPLIANCE_RISK
WRK005277,Ahmedabad East,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK005517,Bengaluru Central,2024-25,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK005544,Bengaluru Central,2025-26,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK005562,Jammu,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK005662,Lucknow,2023-24,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK005692,Lucknow,2024-25,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK005732,Lucknow,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK005812,Cuttack,2024-25,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK005819,Cuttack,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK005914,Outer Manipur,2024-25,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK005935,Outer Manipur,2025-26,AMOUNT_CLUSTERING,True,Injected synthetic AMOUNT_CLUSTERING
